purchase_month,is_late,review_count,avg_review_score
2016-09,1,1,1.0
2016-10,0,259,4.023
2016-10,1,2,2.5
2016-12,0,1,5.0
2017-01,0,710,4.275
2017-01,1,22,1.909
2017-02,0,1591,4.264
2017-02,1,46,2.304
2017-03,0,2379,4.282
2017-03,1,137,2.657
2017-04,0,2103,4.254
2017-04,1,176,2.71
2017-05,0,3388,4.288
2017-05,1,120,2.9
2017-06,0,2984,4.284
2017-06,1,117,2.692
2017-07,0,3700,4.32
2017-07,1,129,2.481
2017-08,0,4015,4.363
2017-08,1,136,2.868
2017-09,0,3897,4.346
2017-09,1,211,2.81
2017-10,0,4208,4.279
2017-10,1,228,2.868
2017-11,0,6199,4.249
2017-11,1,1027,2.419
2017-12,0,5000,4.252
2017-12,1,450,2.318
2018-01,0,6545,4.238
2018-01,1,455,2.244
2018-02,0,5453,4.209
2018-02,1,1020,2.151
2018-03,0,5475,4.224
2018-03,1,1460,2.279
2018-04,0,6400,4.302
2018-04,1,348,2.463
2018-05,0,6173,4.339
2018-05,1,549,3.073
2018-06,0,5981,4.332
2018-06,1,83,2.554
2018-07,0,5840,4.376
2018-07,1,265,3.132
2018-08,0,5667,4.402
2018-08,1,650,3.551
