purchase_month,delivered_orders,late_delivered_orders,late_delivery_rate_pct
2016-09,1,1.0,100.0
2016-10,265,3.0,1.13
2016-12,1,0.0,0.0
2017-01,750,23.0,3.07
2017-02,1653,53.0,3.21
2017-03,2546,142.0,5.58
2017-04,2303,181.0,7.86
2017-05,3545,128.0,3.61
2017-06,3135,121.0,3.86
2017-07,3872,133.0,3.43
2017-08,4193,139.0,3.32
2017-09,4150,216.0,5.2
2017-10,4478,237.0,5.29
2017-11,7288,1043.0,14.31
2017-12,5513,462.0,8.38
2018-01,7069,464.0,6.56
2018-02,6555,1048.0,15.99
2018-03,7003,1496.0,21.36
2018-04,6798,361.0,5.31
2018-05,6749,556.0,8.24
2018-06,6096,83.0,1.36
2018-07,6156,276.0,4.48
2018-08,6351,660.0,10.39
